7.908	7.941	0.448	0.448
4.605	4.638	0.448	0.448
5.606	5.639	0.448	0.448
21.221	21.255	0.448	0.448
1.101	1.134	0.449	0.449
1.168	1.201	0.450	0.450
24.825	24.858	0.450	0.450
18.418	18.452	0.451	0.451
11.678	11.712	0.451	0.451
15.682	15.716	0.452	0.452
24.324	24.358	0.452	0.452
4.805	4.838	0.452	0.452
15.048	15.082	0.453	0.453
8.509	8.542	0.453	0.453
5.038	5.072	0.453	0.453
16.650	16.683	0.454	0.454
4.671	4.705	0.455	0.455
4.738	4.771	0.455	0.455
3.704	3.737	0.456	0.456
8.242	8.275	0.456	0.456
26.426	26.460	0.456	0.456
1.502	1.535	0.457	0.457
31.632	31.665	0.457	0.457
12.513	12.546	0.457	0.457
3.337	3.370	0.458	0.458
10.143	10.177	0.458	0.458
16.049	16.083	0.458	0.458
3.837	3.871	0.458	0.458
12.746	12.779	0.458	0.458
2.503	2.536	0.459	0.459
3.403	3.437	0.459	0.459
23.757	23.790	0.459	0.459
10.277	10.310	0.459	0.459
10.544	10.577	0.459	0.459
27.427	27.461	0.460	0.460
2.636	2.669	0.460	0.460
7.074	7.107	0.461	0.461
19.319	19.353	0.461	0.461
22.723	22.756	0.462	0.462
24.191	24.224	0.462	0.462
13.213	13.247	0.463	0.463
11.879	11.912	0.463	0.463
32.833	32.866	0.463	0.463
23.190	23.223	0.464	0.464
13.013	13.046	0.464	0.464
6.139	6.173	0.465	0.465
28.929	28.962	0.465	0.465
2.769	2.803	0.467	0.467
5.506	5.572	0.467	0.467
18.852	18.886	0.467	0.467
7.341	7.374	0.467	0.467
6.707	6.740	0.467	0.467
14.615	14.648	0.468	0.468
23.690	23.724	0.468	0.468
7.774	7.808	0.469	0.469
20.821	20.854	0.469	0.469
7.541	7.608	0.470	0.470
21.788	21.822	0.470	0.470
10.611	10.677	0.470	0.470
21.588	21.622	0.470	0.470
15.749	15.782	0.471	0.471
14.081	14.114	0.471	0.471
20.587	20.621	0.471	0.471
20.888	20.921	0.471	0.471
3.537	3.604	0.472	0.472
18.785	18.819	0.473	0.473
17.784	17.818	0.473	0.473
5.873	5.906	0.474	0.474
6.773	6.807	0.474	0.474
9.576	9.610	0.474	0.474
20.654	20.687	0.474	0.474
32.933	32.966	0.476	0.476
22.289	22.322	0.476	0.476
6.306	6.340	0.477	0.477
2.569	2.603	0.478	0.478
0.801	0.834	0.478	0.478
5.806	5.839	0.478	0.478
22.222	22.256	0.479	0.479
3.904	3.937	0.479	0.479
20.254	20.287	0.479	0.479
21.855	21.889	0.479	0.479
13.280	13.313	0.480	0.480
21.388	21.421	0.480	0.480
10.777	10.811	0.480	0.480
10.844	10.878	0.481	0.481
2.836	2.903	0.481	0.481
11.545	11.578	0.482	0.482
8.141	8.208	0.482	0.482
24.124	24.157	0.483	0.483
15.883	15.916	0.483	0.483
22.089	22.122	0.483	0.483
0.601	0.634	0.484	0.484
0.901	0.934	0.484	0.484
16.583	16.617	0.484	0.484
20.387	20.420	0.484	0.484
10.711	10.744	0.484	0.484
20.320	20.354	0.485	0.485
6.640	6.673	0.485	0.485
14.548	14.581	0.485	0.485
